,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
183,JP Faulkner (AUS),2012-2017,24,24,11,11,0,0,11,2 (2ct 0st),0.45799999999999996
184,G Gambhir (INDIA),2007-2012,37,36,11,11,0,0,11,2 (2ct 0st),0.305
185,Imran Nazir (PAK),2007-2012,25,25,11,11,0,0,11,2 (2ct 0st),0.44
186,Jatinder Singh (OMAN),2015-2019,25,25,11,11,0,0,11,2 (2ct 0st),0.44
187,Khawar Ali (OMAN),2015-2019,29,28,11,11,0,0,11,2 (2ct 0st),0.392
188,Mohammed Rizlan (QAT),2019-2019,15,15,11,8,3,8,0,3 (2ct 1st),0.733
189,PL Mommsen (SCOT),2012-2016,24,22,11,11,0,0,11,2 (2ct 0st),0.5
190,GD Phillips (NZ),2017-2018,11,10,11,9,2,7,2,4 (3ct 1st),1.1
191,Rizwan Cheema (CAN),2008-2019,24,24,11,11,0,0,11,2 (2ct 0st),0.45799999999999996
192,Rohan Mustafa (UAE),2014-2019,38,38,11,11,0,0,11,2 (2ct 0st),0.289
193,AD Russell (WI),2011-2018,47,47,11,11,0,0,11,2 (2ct 0st),0.23399999999999999
194,Shadab Khan (PAK),2017-2019,38,38,11,11,0,0,11,1 (1ct 0st),0.289
195,Shaiman Anwar (UAE),2014-2019,32,32,11,11,0,0,11,2 (2ct 0st),0.34299999999999997
196,DW Steyn (SA),2007-2019,44,44,11,11,0,0,11,1 (1ct 0st),0.25
197,T Taibu (ZIM),2007-2012,17,17,11,6,5,6,0,3 (0ct 3st),0.647
198,PA van Meekeren (NL),2013-2019,41,39,11,11,0,0,11,2 (2ct 0st),0.282
199,D Weston (GER),2019-2019,6,6,11,9,2,9,0,4 (3ct 1st),1.8330000000000002
200,Abdur Razzak (BDESH),2006-2014,34,33,10,10,0,0,10,2 (2ct 0st),0.303
201,GJ Bailey (AUS/World),2012-2017,30,30,10,10,0,0,10,2 (2ct 0st),0.33299999999999996
202,SJ Benn (WI),2008-2016,24,24,10,10,0,0,10,3 (3ct 0st),0.41600000000000004
203,TT Bresnan (ENG),2006-2014,34,34,10,10,0,0,10,2 (2ct 0st),0.294
204,RP Burl (ZIM),2018-2019,16,16,10,10,0,0,10,2 (2ct 0st),0.625
205,SS Cottrell (WI),2014-2019,22,22,10,10,0,0,10,2 (2ct 0st),0.45399999999999996
206,N Dickwella (SL),2016-2019,23,23,10,10,0,9,1,2 (2ct 0st),0.434
207,R Escobar (Arg),2019-2019,5,5,10,7,3,7,0,3 (3ct 0st),2.0
208,FJ Klaassen (NL),2018-2019,21,20,10,10,0,0,10,2 (2ct 0st),0.5
209,Mashrafe Mortaza (BDESH),2006-2017,54,53,10,10,0,0,10,3 (3ct 0st),0.188
210,Nizakat Khan (HKG),2014-2019,34,34,10,10,0,0,10,2 (2ct 0st),0.294
211,JL Ontong (SA),2008-2015,14,14,10,10,0,0,10,3 (3ct 0st),0.7140000000000001
212,RJ Peterson (SA),2006-2014,21,21,10,10,0,0,10,2 (2ct 0st),0.47600000000000003
213,AU Rashid (ENG),2009-2019,40,40,10,10,0,0,10,2 (2ct 0st),0.25
214,SM Sharif (SCOT),2012-2019,42,41,10,10,0,0,10,2 (2ct 0st),0.243
215,JJ Smit (NAM),2019-2019,12,12,10,10,0,0,10,3 (3ct 0st),0.833
216,LJ Tucker (IRE),2016-2019,14,14,10,10,0,2,8,2 (2ct 0st),0.7140000000000001
217,Usman Ghani (AFG),2015-2019,19,19,10,10,0,0,10,2 (2ct 0st),0.526
218,Asif Ali (PAK),2018-2019,25,25,9,9,0,0,9,1 (1ct 0st),0.36
219,Mudassar Bukhari (NL),2008-2016,38,36,9,9,0,0,9,2 (2ct 0st),0.25
220,CJ Chibhabha (ZIM),2006-2018,33,33,9,9,0,0,9,2 (2ct 0st),0.272
221,MD Gunathilaka (SL),2016-2019,21,21,9,9,0,0,9,3 (3ct 0st),0.428
222,DT Johnston (IRE),2008-2013,30,28,9,9,0,0,9,3 (3ct 0st),0.321
223,Karan KC (NEPAL),2015-2019,25,25,9,9,0,0,9,2 (2ct 0st),0.36
224,E Lewis (WI),2016-2019,29,29,9,9,0,0,9,2 (2ct 0st),0.31
